id,original_title,original_language,budget,revenue,runtime,popularity,vote_average,vote_count,release_date,release_year,genres,production_companies,cast,crew
575265,Mission: Impossible - The Final Reckoning,en,400000000,204000000,170,341.8946,7.065,371,2025-05-17,2025,"[{'name': 'Action', 'id': 28}, {'name': 'Adventure', 'id': 12}, {'name': 'Thriller', 'id': 53}]","['Paramount Pictures', 'Skydance Media', 'TC Productions']","[{'id': 500, 'name': 'Tom Cruise', 'popularity': 24.1376}, {'id': 39459, 'name': 'Hayley Atwell', 'popularity': 15.2137}, {'id': 10182, 'name': 'Ving Rhames', 'popularity': 10.0302}, {'id': 11108, 'name': 'Simon Pegg', 'popularity': 8.1094}, {'id': 65344, 'name': 'Esai Morales', 'popularity': 6.2274}]","{'id': 9033, 'name': 'Christopher McQuarrie', 'popularity': 5.2445}"
574475,Final Destination Bloodlines,en,50000000,186707397,110,455.0084,7.0,445,2025-05-09,2025,"[{'name': 'Horror', 'id': 27}, {'name': 'Mystery', 'id': 9648}]","['New Line Cinema', 'Practical Pictures', 'Freshman Year', 'Fireside Films', 'Domain Entertainment']","[{'id': 3480304, 'name': 'Kaitlyn Santa Juana', 'popularity': 34.6079}, {'id': 1547148, 'name': 'Teo Briones', 'popularity': 21.0102}, {'id': 58724, 'name': 'Rya Kihlstedt', 'popularity': 3.5538}, {'id': 144852, 'name': 'Richard Harmon', 'popularity': 9.1404}, {'id': 1482198, 'name': 'Owen Patrick Joyner', 'popularity': 2.1231}]","{'id': 1938317, 'name': 'Adam B. Stein', 'popularity': 1.7294}"
1045021,தக் லைஃப்,ta,35000000,0,166,5.1089,0.0,0,2025-06-04,2025,"[{'name': 'Action', 'id': 28}, {'name': 'Crime', 'id': 80}, {'name': 'Drama', 'id': 18}]","['Raajkamal Films International', 'Madras Talkies', 'Red Giant Movies']","[{'id': 93193, 'name': 'Kamal Haasan', 'popularity': 3.1758}, {'id': 222760, 'name': 'Silambarasan', 'popularity': 3.1924}, {'id': 116925, 'name': 'Trisha Krishnan', 'popularity': 9.5475}, {'id': 584496, 'name': 'Abhirami', 'popularity': 1.1096}, {'id': 1357376, 'name': 'Joju George', 'popularity': 2.4829}]","{'id': 78747, 'name': 'Mani Ratnam', 'popularity': 2.9224}"
1357359,Ejen Ali: The Movie 2,ms,2200000,0,120,15.5246,10.0,1,2025-05-22,2025,"[{'name': 'Animation', 'id': 16}, {'name': 'Action', 'id': 28}, {'name': 'Adventure', 'id': 12}, {'name': 'Comedy', 'id': 35}, {'name': 'Family', 'id': 10751}, {'name': 'Mystery', 'id': 9648}, {'name': 'Science Fiction', 'id': 878}, {'name': 'Thriller', 'id': 53}]","['WAU Animation', 'Primeworks Studios', 'Komet Productions']","[{'id': 1241066, 'name': 'Ida Rahayu', 'popularity': 0.3457}, {'id': 4011376, 'name': 'Noorhayati Maslini', 'popularity': 0.5521}, {'id': 1241067, 'name': 'Shafiq Isa', 'popularity': 0.4178}, {'id': 5454296, 'name': 'Omar H. Ali', 'popularity': 0.0071}, {'id': 4401624, 'name': 'Su Ling Chan', 'popularity': 0.1483}]","{'id': 2505927, 'name': 'Muhammad Usamah Zaid', 'popularity': 0.3059}"
552524,Lilo & Stitch,en,100000000,341700000,108,719.8697,7.0,229,2025-05-17,2025,"[{'name': 'Family', 'id': 10751}, {'name': 'Comedy', 'id': 35}, {'name': 'Science Fiction', 'id': 878}]","['Walt Disney Pictures', 'Rideback']","[{'id': 3988423, 'name': 'Maia Kealoha', 'popularity': 5.0939}, {'id': 3025125, 'name': 'Sydney Agudong', 'popularity': 12.3375}, {'id': 66193, 'name': 'Chris Sanders', 'popularity': 5.1804}, {'id': 58225, 'name': 'Zach Galifianakis', 'popularity': 8.8115}, {'id': 141034, 'name': 'Billy Magnussen', 'popularity': 8.1008}]","{'id': 1540069, 'name': 'Dean Fleischer Camp', 'popularity': 2.6766}"
1093237,Hurry Up Tomorrow,en,15000000,5518263,106,16.1333,5.0,36,2025-05-14,2025,"[{'name': 'Thriller', 'id': 53}, {'name': 'Music', 'id': 10402}]","['Manic Phase', 'Live Nation Productions']","[{'id': 1549008, 'name': 'The Weeknd', 'popularity': 3.9109}, {'id': 974169, 'name': 'Jenna Ortega', 'popularity': 22.5838}, {'id': 1290466, 'name': 'Barry Keoghan', 'popularity': 6.9011}, {'id': 98522, 'name': 'Riley Keough', 'popularity': 5.622}, {'id': 3665739, 'name': 'Ash T', 'popularity': 0.5128}]","{'id': 1423660, 'name': 'Trey Edward Shults', 'popularity': 2.4846}"
713364,Clown in a Cornfield,en,1000000,5269735,96,8.2968,6.1,21,2025-05-08,2025,"[{'name': 'Horror', 'id': 27}, {'name': 'Mystery', 'id': 9648}, {'name': 'Thriller', 'id': 53}]","['Temple Hill Entertainment', 'Rhea Films', 'Protagonist Pictures', 'Thundersnow Pictures', '1821 Pictures', 'Hercules Film Fund']","[{'id': 1183993, 'name': 'Katie Douglas', 'popularity': 4.1792}, {'id': 56262, 'name': 'Aaron Abrams', 'popularity': 2.4532}, {'id': 1857464, 'name': 'Carson MacCormac', 'popularity': 1.2653}, {'id': 1780951, 'name': 'Cassandra Potenza', 'popularity': 1.2692}, {'id': 2425167, 'name': 'Verity Marks', 'popularity': 1.1362}]","{'id': 52479, 'name': 'Eli Craig', 'popularity': 1.898}"
1100988,28 Years Later,en,75000000,0,126,15.994,0.0,0,2025-06-18,2025,"[{'name': 'Horror', 'id': 27}, {'name': 'Thriller', 'id': 53}, {'name': 'Science Fiction', 'id': 878}]","['DNA Films', 'Decibel Films', 'Columbia Pictures', 'BFI']","[{'id': 1388593, 'name': 'Jodie Comer', 'popularity': 6.1015}, {'id': 27428, 'name': 'Aaron Taylor-Johnson', 'popularity': 7.5772}, {'id': 85065, 'name': ""Jack O'Connell"", 'popularity': 6.4113}, {'id': 5107934, 'name': 'Alfie Williams', 'popularity': 0.5497}, {'id': 5469, 'name': 'Ralph Fiennes', 'popularity': 10.018}]","{'id': 2034, 'name': 'Danny Boyle', 'popularity': 3.0411}"
1180906,Desert Dawn,en,1500000,0,89,58.5727,7.571,7,2025-05-15,2025,"[{'name': 'Action', 'id': 28}, {'name': 'Crime', 'id': 80}, {'name': 'Mystery', 'id': 9648}, {'name': 'Thriller', 'id': 53}]","['Premiere Entertainment Group', 'Al Bravo Films']","[{'id': 34502, 'name': 'Kellan Lutz', 'popularity': 4.9416}, {'id': 55086, 'name': 'Cam Gigandet', 'popularity': 4.2289}, {'id': 228371, 'name': 'Chad Michael Collins', 'popularity': 2.4429}, {'id': 53185, 'name': 'Texas Battle', 'popularity': 2.5085}, {'id': 2091809, 'name': 'Mike Ferguson', 'popularity': 1.7604}]","{'id': 1544343, 'name': 'Marty Murray', 'popularity': 0.44}"
977294,Tin Soldier,en,45000000,0,87,185.0718,5.181,36,2025-05-22,2025,"[{'name': 'Action', 'id': 28}, {'name': 'Thriller', 'id': 53}]","['Unified Pictures', 'Romulus Entertainment', 'Shaken, Not Stirred Productions', 'Aloe Entertainment', 'Current Entertainment', 'Media Finance Capital', 'TSF Productions', 'Road Less Traveled Productions', 'Lost Winds Entertainment', 'Golden Liberty Films', 'Daniel Finkelman Films']","[{'id': 928572, 'name': 'Scott Eastwood', 'popularity': 5.5268}, {'id': 380, 'name': 'Robert De Niro', 'popularity': 12.0488}, {'id': 134, 'name': 'Jamie Foxx', 'popularity': 6.8687}, {'id': 5723, 'name': 'John Leguizamo', 'popularity': 4.8007}, {'id': 453272, 'name': 'Nora Arnezeder', 'popularity': 2.7059}]","{'id': 144221, 'name': 'Brad Furman', 'popularity': 2.3273}"
