id,original_title,original_language,budget,revenue,runtime,popularity,vote_average,vote_count,release_date,release_year,genres,production_companies,cast,crew
38757,Tangled,en,260000000,592461732,100,17.923,7.607,11735,2010-11-24,2010,"[{'name': 'Animation', 'id': 16}, {'name': 'Family', 'id': 10751}, {'name': 'Adventure', 'id': 12}]","['Walt Disney Animation Studios', 'Walt Disney Pictures']","[{'id': 16855, 'name': 'Mandy Moore', 'popularity': 3.7534}, {'id': 69899, 'name': 'Zachary Levi', 'popularity': 4.0526}, {'id': 2517, 'name': 'Donna Murphy', 'popularity': 1.7767}, {'id': 2372, 'name': 'Ron Perlman', 'popularity': 6.4221}, {'id': 22132, 'name': 'M.C. Gainey', 'popularity': 2.4204}]","{'id': 121830, 'name': 'Nathan Greno', 'popularity': 1.1702}"
38365,Grown Ups,en,80000000,271430189,102,17.0722,6.393,6283,2010-06-24,2010,"[{'name': 'Comedy', 'id': 35}]","['Columbia Pictures', 'Relativity Media', 'Happy Madison Productions']","[{'id': 19292, 'name': 'Adam Sandler', 'popularity': 7.1193}, {'id': 32895, 'name': 'Kevin James', 'popularity': 3.2638}, {'id': 2632, 'name': 'Chris Rock', 'popularity': 3.709}, {'id': 60950, 'name': 'David Spade', 'popularity': 3.1206}, {'id': 60949, 'name': 'Rob Schneider', 'popularity': 5.0085}]","{'id': 17494, 'name': 'Dennis Dugan', 'popularity': 2.2982}"
26389,From Paris with Love,en,52000000,52800000,92,35.878,6.299,2092,2010-02-04,2010,"[{'name': 'Action', 'id': 28}, {'name': 'Crime', 'id': 80}, {'name': 'Thriller', 'id': 53}]","['M6', 'M6 Films', 'TPS Star', 'Grive Productions', 'EuropaCorp', 'Apipoulaï Prod', 'W9', 'Canal+']","[{'id': 8891, 'name': 'John Travolta', 'popularity': 6.0842}, {'id': 1244, 'name': 'Jonathan Rhys Meyers', 'popularity': 3.5651}, {'id': 120832, 'name': 'Kasia Smutniak', 'popularity': 1.8061}, {'id': 120833, 'name': 'Richard Durden', 'popularity': 1.4969}, {'id': 1019987, 'name': 'Bing Yin', 'popularity': 0.8882}]","{'id': 35453, 'name': 'Pierre Morel', 'popularity': 1.7655}"
12444,Harry Potter and the Deathly Hallows: Part 1,en,250000000,954305868,146,17.4065,7.742,19471,2010-11-17,2010,"[{'name': 'Adventure', 'id': 12}, {'name': 'Fantasy', 'id': 14}]","['Warner Bros. Pictures', 'Heyday Films']","[{'id': 10980, 'name': 'Daniel Radcliffe', 'popularity': 6.9275}, {'id': 10990, 'name': 'Emma Watson', 'popularity': 18.5884}, {'id': 10989, 'name': 'Rupert Grint', 'popularity': 3.1743}, {'id': 13014, 'name': 'Toby Jones', 'popularity': 4.4706}, {'id': 1283, 'name': 'Helena Bonham Carter', 'popularity': 4.4139}]","{'id': 11343, 'name': 'David Yates', 'popularity': 2.0744}"
10191,How to Train Your Dragon,en,165000000,494879471,98,21.4188,7.837,13379,2010-03-18,2010,"[{'name': 'Fantasy', 'id': 14}, {'name': 'Adventure', 'id': 12}, {'name': 'Animation', 'id': 16}, {'name': 'Family', 'id': 10751}]",['DreamWorks Animation'],"[{'id': 449, 'name': 'Jay Baruchel', 'popularity': 3.211}, {'id': 17276, 'name': 'Gerard Butler', 'popularity': 12.7341}, {'id': 24264, 'name': 'Craig Ferguson', 'popularity': 2.525}, {'id': 59174, 'name': 'America Ferrera', 'popularity': 3.0259}, {'id': 21007, 'name': 'Jonah Hill', 'popularity': 5.0258}]","{'id': 69797, 'name': 'Dean DeBlois', 'popularity': 1.8312}"
11324,Shutter Island,en,80000000,294804195,138,18.6111,8.201,24509,2010-02-14,2010,"[{'name': 'Drama', 'id': 18}, {'name': 'Thriller', 'id': 53}, {'name': 'Mystery', 'id': 9648}]","['Paramount Pictures', 'Phoenix Pictures', 'Sikelia Productions', 'Appian Way']","[{'id': 6193, 'name': 'Leonardo DiCaprio', 'popularity': 10.913}, {'id': 103, 'name': 'Mark Ruffalo', 'popularity': 4.9887}, {'id': 2282, 'name': 'Ben Kingsley', 'popularity': 5.6105}, {'id': 2201, 'name': 'Max von Sydow', 'popularity': 3.2934}, {'id': 1812, 'name': 'Michelle Williams', 'popularity': 4.5129}]","{'id': 1032, 'name': 'Martin Scorsese', 'popularity': 5.4234}"
37799,The Social Network,en,40000000,224920315,121,15.819,7.37,12413,2010-10-01,2010,"[{'name': 'Drama', 'id': 18}]","['Columbia Pictures', 'Relativity Media', 'Scott Rudin Productions', 'Michael De Luca Productions', 'Trigger Street Productions']","[{'id': 44735, 'name': 'Jesse Eisenberg', 'popularity': 4.5368}, {'id': 37625, 'name': 'Andrew Garfield', 'popularity': 9.438}, {'id': 53807, 'name': 'Armie Hammer', 'popularity': 2.9051}, {'id': 928532, 'name': 'Josh Pence', 'popularity': 1.9308}, {'id': 12111, 'name': 'Justin Timberlake', 'popularity': 3.3667}]","{'id': 7467, 'name': 'David Fincher', 'popularity': 4.0441}"
38575,The Karate Kid,en,40000000,359126022,140,24.0013,6.55,6161,2010-06-10,2010,"[{'name': 'Action', 'id': 28}, {'name': 'Adventure', 'id': 12}, {'name': 'Drama', 'id': 18}, {'name': 'Family', 'id': 10751}]","['Jerry Weintraub Productions', 'Columbia Pictures', 'Overbrook Entertainment', 'China Film Group Corporation', 'Emperor Motion Pictures']","[{'id': 120724, 'name': 'Jaden Smith', 'popularity': 5.3128}, {'id': 18897, 'name': 'Jackie Chan', 'popularity': 11.955}, {'id': 40036, 'name': 'Taraji P. Henson', 'popularity': 4.8722}, {'id': 1443364, 'name': 'Wenwen Han', 'popularity': 4.1819}, {'id': 1443375, 'name': 'Wang ZhenWei', 'popularity': 2.6341}]","{'id': 21981, 'name': 'Harald Zwart', 'popularity': 1.7973}"
27205,Inception,en,160000000,839030630,148,26.695,8.368,37442,2010-07-15,2010,"[{'name': 'Action', 'id': 28}, {'name': 'Science Fiction', 'id': 878}, {'name': 'Adventure', 'id': 12}]","['Legendary Pictures', 'Syncopy', 'Warner Bros. Pictures']","[{'id': 6193, 'name': 'Leonardo DiCaprio', 'popularity': 10.913}, {'id': 24045, 'name': 'Joseph Gordon-Levitt', 'popularity': 5.3685}, {'id': 3899, 'name': 'Ken Watanabe', 'popularity': 3.1526}, {'id': 2524, 'name': 'Tom Hardy', 'popularity': 17.1537}, {'id': 27578, 'name': 'Elliot Page', 'popularity': 5.3073}]","{'id': 525, 'name': 'Christopher Nolan', 'popularity': 7.284}"
10138,Iron Man 2,en,200000000,623933331,124,15.0104,6.849,21411,2010-04-28,2010,"[{'name': 'Adventure', 'id': 12}, {'name': 'Action', 'id': 28}, {'name': 'Science Fiction', 'id': 878}]","['Marvel Studios', 'Fairview Entertainment', 'Marvel Entertainment']","[{'id': 3223, 'name': 'Robert Downey Jr.', 'popularity': 11.2221}, {'id': 12052, 'name': 'Gwyneth Paltrow', 'popularity': 3.4716}, {'id': 1896, 'name': 'Don Cheadle', 'popularity': 3.504}, {'id': 1245, 'name': 'Scarlett Johansson', 'popularity': 24.3617}, {'id': 6807, 'name': 'Sam Rockwell', 'popularity': 4.1244}]","{'id': 15277, 'name': 'Jon Favreau', 'popularity': 3.7063}"
43949,Flipped,en,14000000,4324817,89,12.3,8.026,3121,2010-08-06,2010,"[{'name': 'Romance', 'id': 10749}, {'name': 'Drama', 'id': 18}]",['Reiner / Greisman Productions'],"[{'id': 62564, 'name': 'Madeline Carroll', 'popularity': 2.2152}, {'id': 236851, 'name': 'Callan McAuliffe', 'popularity': 1.5743}, {'id': 28412, 'name': 'Rebecca De Mornay', 'popularity': 3.7414}, {'id': 11085, 'name': 'Anthony Edwards', 'popularity': 4.1616}, {'id': 4251, 'name': 'John Mahoney', 'popularity': 2.25}]","{'id': 3026, 'name': 'Rob Reiner', 'popularity': 3.3965}"
44214,Black Swan,en,13000000,329398046,109,13.0752,7.686,14794,2010-12-03,2010,"[{'name': 'Drama', 'id': 18}, {'name': 'Thriller', 'id': 53}, {'name': 'Horror', 'id': 27}]","['Fox Searchlight Pictures', 'Cross Creek Pictures', 'Protozoa Pictures', 'Phoenix Pictures', 'Dune Entertainment']","[{'id': 524, 'name': 'Natalie Portman', 'popularity': 9.5297}, {'id': 18973, 'name': 'Mila Kunis', 'popularity': 9.9039}, {'id': 1925, 'name': 'Vincent Cassel', 'popularity': 4.9613}, {'id': 10767, 'name': 'Barbara Hershey', 'popularity': 2.6427}, {'id': 1920, 'name': 'Winona Ryder', 'popularity': 6.6238}]","{'id': 6431, 'name': 'Darren Aronofsky', 'popularity': 2.7265}"
24021,The Twilight Saga: Eclipse,en,68000000,698491347,124,10.1061,6.205,8891,2010-06-23,2010,"[{'name': 'Adventure', 'id': 12}, {'name': 'Fantasy', 'id': 14}, {'name': 'Drama', 'id': 18}, {'name': 'Romance', 'id': 10749}]","['Summit Entertainment', 'Temple Hill Entertainment', 'Imprint Entertainment', 'Maverick Films', 'Sunswept Entertainment']","[{'id': 37917, 'name': 'Kristen Stewart', 'popularity': 9.5489}, {'id': 11288, 'name': 'Robert Pattinson', 'popularity': 9.1102}, {'id': 84214, 'name': 'Taylor Lautner', 'popularity': 3.2673}, {'id': 18997, 'name': 'Bryce Dallas Howard', 'popularity': 4.6061}, {'id': 501, 'name': 'Dakota Fanning', 'popularity': 7.1432}]","{'id': 27571, 'name': 'David Slade', 'popularity': 2.0991}"
23168,The Town,en,37000000,154026136,125,9.1498,7.218,5187,2010-09-15,2010,"[{'name': 'Crime', 'id': 80}, {'name': 'Drama', 'id': 18}, {'name': 'Thriller', 'id': 53}]","['Legendary Pictures', 'GK Films', 'Thunder Road', 'Warner Bros. Pictures']","[{'id': 880, 'name': 'Ben Affleck', 'popularity': 7.5884}, {'id': 17604, 'name': 'Jeremy Renner', 'popularity': 11.0536}, {'id': 15556, 'name': 'Rebecca Hall', 'popularity': 4.5342}, {'id': 65717, 'name': 'Jon Hamm', 'popularity': 7.2587}, {'id': 59175, 'name': 'Blake Lively', 'popularity': 7.8013}]","{'id': 880, 'name': 'Ben Affleck', 'popularity': 7.5884}"
10192,Shrek Forever After,en,165000000,752600867,93,12.4489,6.381,7526,2010-05-20,2010,"[{'name': 'Comedy', 'id': 35}, {'name': 'Adventure', 'id': 12}, {'name': 'Fantasy', 'id': 14}, {'name': 'Animation', 'id': 16}, {'name': 'Family', 'id': 10751}]",['DreamWorks Animation'],"[{'id': 12073, 'name': 'Mike Myers', 'popularity': 5.6843}, {'id': 776, 'name': 'Eddie Murphy', 'popularity': 7.4563}, {'id': 6941, 'name': 'Cameron Diaz', 'popularity': 5.2297}, {'id': 3131, 'name': 'Antonio Banderas', 'popularity': 5.3192}, {'id': 118489, 'name': 'Walt Dohrn', 'popularity': 2.1111}]","{'id': 64151, 'name': 'Mike Mitchell', 'popularity': 1.277}"
