id,original_title,original_language,budget,revenue,runtime,popularity,vote_average,vote_count,release_date,release_year,genres,production_companies,cast,crew
99861,Avengers: Age of Ultron,en,365000000,1405403694,141,17.061,7.271,23409,2015-04-22,2015,"[{'name': 'Action', 'id': 28}, {'name': 'Adventure', 'id': 12}, {'name': 'Science Fiction', 'id': 878}]",['Marvel Studios'],"[{'id': 3223, 'name': 'Robert Downey Jr.', 'popularity': 11.2221}, {'id': 74568, 'name': 'Chris Hemsworth', 'popularity': 13.2804}, {'id': 103, 'name': 'Mark Ruffalo', 'popularity': 4.9887}, {'id': 16828, 'name': 'Chris Evans', 'popularity': 9.6091}, {'id': 1245, 'name': 'Scarlett Johansson', 'popularity': 24.3617}]","{'id': 12891, 'name': 'Joss Whedon', 'popularity': 3.2478}"
76341,Mad Max: Fury Road,en,150000000,378858340,121,14.9834,7.622,23070,2015-05-13,2015,"[{'name': 'Action', 'id': 28}, {'name': 'Adventure', 'id': 12}, {'name': 'Science Fiction', 'id': 878}]","['Warner Bros. Pictures', 'Village Roadshow Pictures', 'Kennedy Miller Mitchell', 'RatPac Entertainment']","[{'id': 2524, 'name': 'Tom Hardy', 'popularity': 17.1537}, {'id': 6885, 'name': 'Charlize Theron', 'popularity': 10.3456}, {'id': 3292, 'name': 'Nicholas Hoult', 'popularity': 4.8685}, {'id': 26060, 'name': 'Hugh Keays-Byrne', 'popularity': 1.585}, {'id': 1056053, 'name': 'Josh Helman', 'popularity': 1.5045}]","{'id': 20629, 'name': 'George Miller', 'popularity': 2.4326}"
298382,The Dressmaker,en,11930000,25003426,118,51.2061,7.003,1678,2015-10-29,2015,"[{'name': 'Drama', 'id': 18}, {'name': 'Comedy', 'id': 35}, {'name': 'Western', 'id': 37}]","['White Hot Productions', 'Screen Australia', 'Film Art Media', 'Embankment Films', 'Ingenious Media', 'Universal Pictures']","[{'id': 204, 'name': 'Kate Winslet', 'popularity': 10.4023}, {'id': 96066, 'name': 'Liam Hemsworth', 'popularity': 3.6698}, {'id': 6692, 'name': 'Caroline Goodall', 'popularity': 2.6362}, {'id': 351, 'name': 'Judy Davis', 'popularity': 2.2897}, {'id': 1375948, 'name': 'Hayley Magnus', 'popularity': 1.4079}]","{'id': 3047, 'name': 'Jocelyn Moorhouse', 'popularity': 1.485}"
216015,Fifty Shades of Grey,en,40000000,569651467,125,20.5591,5.887,11972,2015-02-11,2015,"[{'name': 'Drama', 'id': 18}, {'name': 'Romance', 'id': 10749}, {'name': 'Thriller', 'id': 53}]","['Universal Pictures', 'Focus Features', 'Michael De Luca Productions', 'Trigger Street Productions']","[{'id': 118545, 'name': 'Dakota Johnson', 'popularity': 9.3413}, {'id': 1254583, 'name': 'Jamie Dornan', 'popularity': 3.4882}, {'id': 49971, 'name': 'Jennifer Ehle', 'popularity': 3.1644}, {'id': 222130, 'name': 'Eloise Mumford', 'popularity': 1.5417}, {'id': 59251, 'name': 'Victor Rasuk', 'popularity': 1.5547}]","{'id': 1137903, 'name': 'Sam Taylor-Johnson', 'popularity': 1.6415}"
271718,Trainwreck,en,35000000,140795793,125,29.0956,5.806,2612,2015-07-17,2015,"[{'name': 'Comedy', 'id': 35}, {'name': 'Romance', 'id': 10749}]",['Apatow Productions'],"[{'id': 440414, 'name': 'Amy Schumer', 'popularity': 3.6589}, {'id': 19278, 'name': 'Bill Hader', 'popularity': 4.0743}, {'id': 60073, 'name': 'Brie Larson', 'popularity': 5.5598}, {'id': 107379, 'name': 'LeBron James', 'popularity': 1.8826}, {'id': 1219901, 'name': 'Colin Quinn', 'popularity': 1.9003}]","{'id': 41039, 'name': 'Judd Apatow', 'popularity': 2.6023}"
140607,Star Wars: The Force Awakens,en,245000000,2068223624,136,17.4416,7.261,19725,2015-12-15,2015,"[{'name': 'Adventure', 'id': 12}, {'name': 'Action', 'id': 28}, {'name': 'Science Fiction', 'id': 878}]","['Lucasfilm Ltd.', 'Bad Robot']","[{'id': 3, 'name': 'Harrison Ford', 'popularity': 6.7411}, {'id': 2, 'name': 'Mark Hamill', 'popularity': 6.3177}, {'id': 4, 'name': 'Carrie Fisher', 'popularity': 3.8119}, {'id': 1023139, 'name': 'Adam Driver', 'popularity': 3.5691}, {'id': 1315036, 'name': 'Daisy Ridley', 'popularity': 3.6504}]","{'id': 15344, 'name': 'J.J. Abrams', 'popularity': 3.8165}"
150540,Inside Out,en,175000000,857611174,95,20.7768,7.911,22481,2015-06-17,2015,"[{'name': 'Animation', 'id': 16}, {'name': 'Family', 'id': 10751}, {'name': 'Adventure', 'id': 12}, {'name': 'Drama', 'id': 18}, {'name': 'Comedy', 'id': 35}]","['Pixar', 'Walt Disney Pictures']","[{'id': 56322, 'name': 'Amy Poehler', 'popularity': 3.1883}, {'id': 169200, 'name': 'Phyllis Smith', 'popularity': 1.8047}, {'id': 21125, 'name': 'Richard Kind', 'popularity': 3.7324}, {'id': 19278, 'name': 'Bill Hader', 'popularity': 4.0743}, {'id': 59258, 'name': 'Lewis Black', 'popularity': 2.4934}]","{'id': 12890, 'name': 'Pete Docter', 'popularity': 2.325}"
168259,Furious 7,en,190000000,1515400000,137,13.7328,7.225,10795,2015-04-01,2015,"[{'name': 'Action', 'id': 28}, {'name': 'Thriller', 'id': 53}, {'name': 'Crime', 'id': 80}]","['Original Film', 'One Race', 'Universal Pictures']","[{'id': 12835, 'name': 'Vin Diesel', 'popularity': 11.5927}, {'id': 8167, 'name': 'Paul Walker', 'popularity': 7.5132}, {'id': 18918, 'name': 'Dwayne Johnson', 'popularity': 9.891}, {'id': 976, 'name': 'Jason Statham', 'popularity': 28.9652}, {'id': 17647, 'name': 'Michelle Rodriguez', 'popularity': 6.5114}]","{'id': 2127, 'name': 'James Wan', 'popularity': 3.5466}"
257211,The Intern,en,35000000,194564672,121,14.4924,7.221,6858,2015-09-23,2015,"[{'name': 'Comedy', 'id': 35}]","['Warner Bros. Pictures', 'RatPac Entertainment', 'Waverly Films']","[{'id': 380, 'name': 'Robert De Niro', 'popularity': 11.2143}, {'id': 1813, 'name': 'Anne Hathaway', 'popularity': 12.501}, {'id': 14343, 'name': 'Rene Russo', 'popularity': 3.4503}, {'id': 521563, 'name': 'Anders Holm', 'popularity': 2.0451}, {'id': 1561685, 'name': 'JoJo Kushner', 'popularity': 0.2039}]","{'id': 17698, 'name': 'Nancy Meyers', 'popularity': 2.1493}"
135397,Jurassic World,en,150000000,1671537444,124,14.3779,6.695,20676,2015-06-06,2015,"[{'name': 'Action', 'id': 28}, {'name': 'Adventure', 'id': 12}, {'name': 'Science Fiction', 'id': 878}, {'name': 'Thriller', 'id': 53}]","['Amblin Entertainment', 'Universal Pictures']","[{'id': 73457, 'name': 'Chris Pratt', 'popularity': 5.7301}, {'id': 18997, 'name': 'Bryce Dallas Howard', 'popularity': 4.6061}, {'id': 76793, 'name': 'Irrfan Khan', 'popularity': 2.3196}, {'id': 7132, 'name': ""Vincent D'Onofrio"", 'popularity': 4.4469}, {'id': 17181, 'name': 'Ty Simpkins', 'popularity': 2.4742}]","{'id': 930707, 'name': 'Colin Trevorrow', 'popularity': 2.3065}"
